2024-06-04 00:13:05,745 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_83 @time=127.000,000,000 s
2024-06-04 00:13:05,745 INFO  SnsAmbassador - Added Vehicle id=veh_84 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=127.000,000,000 s
2024-06-04 00:13:05,745 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_84 @time=127.000,000,000 s
2024-06-04 00:13:05,790 INFO  SnsAmbassador - Removed Node id=veh_69 @time=129.000,000,000 s
2024-06-04 00:13:05,903 INFO  SnsAmbassador - Added Vehicle id=veh_86 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=133.000,000,000 s
2024-06-04 00:13:05,903 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_86 @time=133.000,000,000 s
2024-06-04 00:13:05,903 INFO  SnsAmbassador - Added Vehicle id=veh_87 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=133.000,000,000 s
2024-06-04 00:13:05,903 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_87 @time=133.000,000,000 s
2024-06-04 00:13:05,903 INFO  SnsAmbassador - Removed Node id=veh_73 @time=133.000,000,000 s
2024-06-04 00:13:06,031 INFO  SnsAmbassador - Removed Node id=veh_76 @time=134.000,000,000 s
2024-06-04 00:13:06,075 INFO  SnsAmbassador - Removed Node id=veh_80 @time=136.000,000,000 s
2024-06-04 00:13:06,142 INFO  SnsAmbassador - Added Vehicle id=veh_89 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=139.000,000,000 s
2024-06-04 00:13:06,142 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_89 @time=139.000,000,000 s
2024-06-04 00:13:06,142 INFO  SnsAmbassador - Added Vehicle id=veh_90 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=139.000,000,000 s
2024-06-04 00:13:06,142 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_90 @time=139.000,000,000 s
2024-06-04 00:13:06,142 INFO  SnsAmbassador - Removed Node id=veh_77 @time=139.000,000,000 s
2024-06-04 00:13:06,220 INFO  SnsAmbassador - Removed Node id=veh_83 @time=142.000,000,000 s
2024-06-04 00:13:06,240 INFO  SnsAmbassador - Removed Node id=veh_18 @time=143.000,000,000 s
2024-06-04 00:13:06,285 INFO  SnsAmbassador - Added Vehicle id=veh_92 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=145.000,000,000 s
2024-06-04 00:13:06,285 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_92 @time=145.000,000,000 s
2024-06-04 00:13:06,285 INFO  SnsAmbassador - Added Vehicle id=veh_93 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=145.000,000,000 s
